Article,views
Main Page,6910178125
-,404592223
XHamster,90537254
404.php,63890597
Deaths in 2017,37387010
Darth Vader,34895229
Donald Trump,29644764
XXX,24776381
Elizabeth II,19290956
Game of Thrones (season 7),18792746
Meghan Markle,16944130
Game of Thrones,16833302
Earth,16612532
List of Bollywood films of 2017,16391427
United States,15763915
Bitcoin,15026561
13 Reasons Why,14934202
Baahubali 2: The Conclusion,14607282
It (2017 film),14539123
Queen Victoria,14164451
List of highest-grossing Indian films,14091348
Gal Gadot,14034958
Logan (film),14030384
Millennials,13417915
Riverdale (2017 TV series),13360398
2017 in film,13298613
AMGTV,13225295
Lali Espósito,13175212
Stranger Things,13132129
Wonder Woman (2017 film),13062375
Dwayne Johnson,12444987
Star Wars: The Last Jedi,12442644
Justice League (film),12048341
Elon Musk,11968362
Facebook,11851106
Cristiano Ronaldo,11640221
Get Out (film),11618096
India,11571438
Barack Obama,11421965
YouTube,11322747
O. J. Simpson,11301016
Conor McGregor,11265283
Charles Manson,11131106
Ed Sheeran,11010941
Melania Trump,10788288
"Princess Margaret, Countess of Snowdon",10758796
Split (2016 American film),10483770
Thor: Ragnarok,10443757
Floyd Mayweather Jr.,10432043
Pablo Escobar,10422263
XXX (film series),10359453
World War II,10347358
Spider-Man: Homecoming,10289999
XXX (franchise),10274279
"Prince Philip, Duke of Edinburgh",10217057
Charles Darwin,10206629
Star Wars,10196172
Ariana Grande,10100281
Dunkirk (2017 film),9987866
Adolf Hitler,9872486
Google,9829170
Guardians of the Galaxy Vol. 2,9771127
Tom Brady,9730669
Chester Bennington,9679617
Blue Whale (game),9625490
The Fate of the Furious,9399283
Albert Einstein,9383733
Chris Cornell,9370807
World War I,9339742
Beauty and the Beast (2017 film),9295884
Eminem,9215363
La La Land (film),9136522
"Curse, Inc.",9035394
Roger Federer,8947290
Dangal (film),8817584
George VI,8759182
Pirates of the Caribbean: Dead Men Tell No Tales,8754786
United Kingdom,8670328
Lionel Messi,8637578
Canada,8590496
Alien: Covenant,8533532
The Handmaid's Tale,8482721
List of Presidents of the United States,8474503
Mia Khalifa,8469856
Tupac Shakur,8426292
LeBron James,8417371
Michael Jackson,8400404
XXXX,8386042
Bill Paxton,8373847
"Charles, Prince of Wales",8351226
Harvey Weinstein,8340143
List of Marvel Cinematic Universe films,8334039
"Diana, Princess of Wales",8192025
Keanu Reeves,8170412
Jason Momoa,8149109
Transformers: The Last Knight,8089880
